no,category,category_label,file,seo_title,alt,caption
89,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-17.webp,Pendik beyaz eşya teknik servis çalışması #89,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
90,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-18.webp,Pendik beyaz eşya teknik servis çalışması #90,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
91,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-17.webp,Pendik çamaşır makinesi teknik servis çalışması #91,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
92,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-18.webp,Pendik çamaşır makinesi teknik servis çalışması #92,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
93,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-16.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #93,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
94,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-19.webp,Pendik çamaşır makinesi teknik servis çalışması #94,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
95,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-20.webp,Pendik çamaşır makinesi teknik servis çalışması #95,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
96,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-17.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #96,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
97,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-19.webp,Pendik beyaz eşya teknik servis çalışması #97,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
98,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-20.webp,Pendik beyaz eşya teknik servis çalışması #98,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
99,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-18.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #99,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
100,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-21.webp,Pendik çamaşır makinesi teknik servis çalışması #100,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
